loan_id, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
101,3, Not Graduate, No,8300000,37400000,6,655,17700000,2100000,28000000,1000000, Approved
102,1, Not Graduate, Yes,2100000,3200000,6,592,1500000,2700000,6800000,1000000, Approved
103,1, Not Graduate, No,8000000,18200000,14,878,10500000,11600000,21600000,4600000, Approved
104,5, Graduate, No,200000,500000,20,683,600000,400000,400000,100000, Approved
105,3, Graduate, No,8000000,25200000,16,313,14200000,1900000,8300000,800000, Rejected
106,2, Not Graduate, Yes,7900000,17300000,16,615,21000000,6700000,17900000,7000000, Approved
107,2, Not Graduate, No,7800000,9700000,10,650,14000000,12900000,8200000,2900000, Approved
108,0, Graduate, Yes,6700000,16600000,2,326,11600000,16400000,17500000,6300000, Rejected
109,4, Graduate, Yes,4800000,9700000,16,531,10800000,10200000,7600000,2100000, Rejected
110,0, Not Graduate, Yes,7100000,18100000,18,823,7500000,15000000,9700000,4700000, Approved
111,5, Graduate, No,2900000,5200000,12,514,3000000,3700000,5900000,2800000, Rejected
112,1, Graduate, Yes,7800000,16000000,2,574,27000000,11000000,19800000,7900000, Approved
113,0, Not Graduate, No,5600000,19600000,16,432,17200000,12000000,10000000,800000, Rejected
114,0, Graduate, No,4600000,11700000,20,346,12100000,10000000,17800000,3900000, Rejected
115,2, Not Graduate, No,5100000,12100000,6,491,3300000,10200000,2700000,6300000, Rejected
116,0, Not Graduate, No,5700000,17900000,4,764,1700000,11700000,21100000,2200000, Approved
117,1, Not Graduate, Yes,500000,2000000,16,890,400000,1100000,300000,400000, Approved
118,4, Not Graduate, No,1500000,3800000,8,696,4900000,400000,1900000,1100000, Approved
119,4, Graduate, No,2600000,8700000,16,799,7500000,1900000,10400000,3400000, Approved
120,2, Not Graduate, Yes,1300000,6300000,16,690,2500000,3200000,4000000,900000, Approved
121,0, Not Graduate, Yes,4500000,13900000,6,695,15300000,6100000,12400000,6400000, Rejected
122,0, Graduate, No,6700000,31100000,2,556,4600000,3000000,20400000,6800000, Rejected
123,3, Graduate, No,6600000,27600000,12,336,13500000,8300000,12700000,5800000, Rejected
124,2, Not Graduate, Yes,4800000,5900000,10,546,3900000,7700000,15600000,2400000, Approved
125,5, Not Graduate, No,8500000,23100000,18,819,10300000,17600000,8900000,7900000, Approved
126,2, Graduate, Yes,5700000,21600000,8,622,18800000,11600000,18700000,1600000, Approved
127,2, Graduate, No,900000,4500000,6,757,2800000,100000,3400000,600000, Approved
128,3, Not Graduate, Yes,7600000,21500000,18,330,4100000,8600000,26600000,3800000, Rejected
129,5, Not Graduate, Yes,5800000,8000000,16,420,5900000,300000,17900000,6000000, Rejected
130,4, Not Graduate, No,6400000,20800000,14,479,13800000,14200000,17800000,7500000, Rejected
131,0, Graduate, Yes,5700000,8600000,20,515,2300000,2500000,13200000,8000000, Approved
132,2, Not Graduate, No,5600000,22400000,16,893,11300000,8700000,10500000,2300000, Approved
133,5, Graduate, Yes,1000000,3000000,18,577,2100000,1400000,3500000,1300000, Approved
134,4, Not Graduate, Yes,5600000,21800000,16,697,6500000,8800000,15500000,7200000, Approved
135,4, Graduate, No,7900000,35400000,10,687,9200000,11100000,16000000,10300000, Approved
136,0, Graduate, Yes,3100000,10900000,2,551,3000000,5500000,10100000,3500000, Approved
137,2, Not Graduate, No,6100000,21000000,14,880,20100000,9500000,4200000,2900000, Approved
138,4, Not Graduate, No,500000,2000000,16,433,700000,100000,1700000,700000, Rejected
139,0, Graduate, Yes,3600000,15700000,20,320,7700000,3300000,12000000,3400000, Rejected
140,4, Not Graduate, No,4400000,19700000,14,747,5300000,6000000,5700000,5000000, Approved
141,3, Graduate, No,9800000,11200000,12,692,24700000,8000000,6200000,3800000, Approved
142,4, Graduate, Yes,2300000,7400000,12,456,1200000,4400000,6900000,700000, Approved
143,4, Graduate, No,2900000,5400000,4,821,1300000,2300000,3500000,1400000, Approved
144,0, Not Graduate, Yes,4200000,18700000,2,397,11200000,8700000,16700000,3400000, Rejected
145,0, Not Graduate, Yes,9900000,35600000,2,450,25700000,3600000,5300000,6800000, Rejected
146,2, Not Graduate, Yes,8500000,22800000,20,392,9100000,16300000,11100000,11400000, Rejected
147,5, Not Graduate, No,500000,900000,16,411,700000,200000,300000,100000, Rejected
148,5, Graduate, No,2400000,5700000,6,738,8100000,3200000,7800000,500000, Approved
149,4, Not Graduate, No,8200000,31300000,10,722,4500000,6600000,20700000,4600000, Approved
150,1, Graduate, Yes,700000,1300000,10,686,600000,1100000,2400000,200000, Approved
151,5, Not Graduate, Yes,8500000,11700000,6,817,13800000,4500000,32900000,5700000, Approved
152,4, Not Graduate, No,2900000,13200000,10,341,3300000,5800000,7600000,3200000, Rejected
153,1, Not Graduate, No,9100000,36900000,8,672,21300000,13000000,11900000,13600000, Approved
154,4, Graduate, Yes,3000000,5400000,14,369,7400000,7200000,2500000,1100000, Rejected
155,2, Graduate, No,4400000,9500000,16,874,8500000,7800000,15500000,2100000, Approved
156,2, Not Graduate, No,6600000,32300000,2,680,14600000,10000000,9000000,7800000, Approved
157,1, Graduate, No,1400000,5400000,10,756,2300000,2900000,5100000,700000, Approved
158,3, Graduate, No,5600000,19300000,20,643,15200000,3100000,20000000,6100000, Approved
159,1, Graduate, Yes,5100000,11400000,18,530,1700000,8100000,13800000,4700000, Rejected
160,5, Graduate, No,7800000,17100000,16,712,9600000,7600000,20400000,10100000, Approved
161,0, Graduate, No,9900000,11500000,16,802,24300000,18400000,37900000,1500000, Approved
162,1, Graduate, No,6700000,26200000,2,407,8600000,400000,21100000,9900000, Rejected
163,0, Not Graduate, Yes,4200000,4900000,20,823,1900000,4500000,12100000,6100000, Approved
164,1, Graduate, No,4100000,4200000,16,736,5500000,6700000,8300000,500000, Approved
165,4, Not Graduate, Yes,4200000,16500000,18,351,10700000,4800000,9200000,3400000, Rejected
166,5, Graduate, Yes,8100000,38800000,20,862,4900000,4800000,15100000,5400000, Approved
167,0, Not Graduate, No,3300000,13300000,6,408,8600000,3800000,12600000,1500000, Rejected
168,1, Graduate, No,1800000,5200000,2,661,5000000,3800000,4900000,2600000, Approved
169,0, Not Graduate, No,3400000,10000000,14,377,7800000,1800000,11000000,1200000, Rejected
170,4, Graduate, Yes,400000,1100000,10,417,400000,400000,300000,200000, Rejected
171,3, Not Graduate, Yes,1200000,2800000,2,686,3400000,3000000,4200000,100000, Approved
172,2, Not Graduate, No,1000000,3100000,6,708,900000,2300000,2000000,900000, Approved
173,4, Graduate, No,7700000,21000000,20,712,24600000,700000,23700000,10000000, Approved
174,0, Graduate, No,7200000,24400000,8,506,18200000,9500000,4600000,7000000, Rejected
175,4, Graduate, Yes,7000000,32100000,6,792,2700000,1100000,25400000,7100000, Approved
176,0, Not Graduate, Yes,4700000,23400000,14,329,13300000,10900000,13200000,900000, Rejected
177,3, Not Graduate, No,7200000,9500000,14,813,13500000,7900000,15100000,7900000, Approved
178,0, Graduate, Yes,1700000,4300000,8,481,2900000,1800000,2700000,1100000, Rejected
179,1, Not Graduate, Yes,9000000,15500000,18,673,14300000,6100000,14300000,6900000, Approved
180,3, Not Graduate, No,5100000,12300000,12,844,11200000,7300000,8000000,4700000, Approved
181,3, Graduate, No,9300000,20000000,4,453,24100000,3400000,8900000,13600000, Rejected
182,2, Graduate, Yes,1600000,2700000,8,547,5100000,3200000,3400000,1800000, Approved
183,3, Graduate, No,5000000,20300000,18,797,5500000,6100000,10400000,5300000, Approved
184,5, Not Graduate, No,7000000,20900000,2,819,16000000,9900000,13600000,4900000, Approved
185,1, Not Graduate, Yes,5000000,23400000,2,441,12300000,10500000,14800000,700000, Rejected
186,5, Graduate, No,4500000,5100000,14,605,10900000,2100000,8900000,3800000, Approved
187,0, Not Graduate, No,1800000,2300000,10,500,3300000,800000,1500000,1800000, Rejected
188,5, Not Graduate, No,3900000,10200000,6,610,5800000,4100000,13600000,4200000, Approved
189,5, Not Graduate, Yes,2500000,3300000,10,527,6800000,4900000,5000000,2400000, Approved
190,2, Graduate, Yes,3100000,6400000,4,303,3700000,500000,8700000,1600000, Rejected
191,0, Not Graduate, No,6900000,34100000,8,855,6100000,13700000,25900000,2800000, Approved
192,2, Not Graduate, No,6300000,11600000,6,682,12600000,7900000,20100000,1400000, Approved
193,1, Graduate, Yes,6100000,10900000,12,577,6600000,8600000,14600000,6600000, Approved
194,3, Graduate, No,3700000,12200000,14,364,1100000,5200000,8900000,5400000, Rejected
195,1, Not Graduate, Yes,9600000,28700000,20,342,3600000,1300000,33300000,8000000, Rejected
196,0, Not Graduate, No,1000000,3300000,2,587,2500000,600000,3400000,1000000, Rejected
197,5, Not Graduate, No,3500000,8800000,8,690,11900000,6600000,3900000,3700000, Approved
198,5, Not Graduate, No,1300000,5600000,6,456,2200000,1300000,3500000,400000, Rejected
199,3, Not Graduate, No,3500000,5400000,12,747,2400000,4900000,12400000,1300000, Approved
200,5, Graduate, No,9600000,26100000,12,535,27800000,22700000,31800000,3800000, Rejected
201,5, Not Graduate, No,3700000,13900000,18,306,3900000,400000,3500000,5200000, Rejected
202,5, Graduate, Yes,9100000,39500000,20,622,31700000,10200000,18400000,1100000, Approved
203,4, Not Graduate, No,5000000,12400000,16,408,10300000,4500000,11600000,4300000, Rejected
204,0, Not Graduate, Yes,7000000,22900000,4,308,6800000,1900000,9800000,4400000, Rejected
205,4, Graduate, Yes,4600000,5900000,2,378,8400000,10900000,13200000,4700000, Rejected
206,5, Not Graduate, No,2800000,4700000,18,471,3700000,6700000,6100000,1100000, Rejected
207,1, Not Graduate, Yes,7600000,9700000,20,609,21100000,5900000,11700000,11000000, Approved
208,0, Graduate, No,9600000,37600000,6,894,5300000,22700000,16100000,5400000, Approved
209,2, Not Graduate, No,2700000,5800000,2,431,8200000,200000,9400000,3800000, Rejected
210,4, Not Graduate, No,7800000,30400000,14,334,21300000,19100000,27500000,7200000, Rejected
211,4, Graduate, No,2700000,3400000,12,414,8200000,5600000,9000000,1800000, Rejected
212,3, Not Graduate, Yes,7200000,32000000,18,491,22700000,3900000,26600000,8100000, Rejected
213,5, Not Graduate, No,7900000,34300000,12,423,7600000,11800000,30300000,6900000, Rejected
214,0, Not Graduate, Yes,4600000,6200000,16,493,8800000,9200000,10200000,1400000, Rejected
215,5, Graduate, Yes,7400000,8100000,16,882,22200000,5900000,6200000,8000000, Approved
216,5, Not Graduate, No,2800000,3400000,2,528,4000000,2500000,9200000,2600000, Approved
217,5, Not Graduate, No,900000,4000000,4,681,400000,1400000,2400000,800000, Approved
218,1, Not Graduate, Yes,1100000,2100000,16,711,1300000,400000,2000000,1200000, Approved
219,3, Graduate, No,4500000,14400000,4,378,4500000,1300000,17600000,4600000, Rejected
220,1, Graduate, No,9000000,24300000,6,448,27600000,5600000,15200000,5500000, Rejected
221,2, Graduate, Yes,1400000,5900000,16,549,2400000,2600000,5100000,800000, Approved
222,5, Not Graduate, No,4600000,13600000,6,576,11300000,4200000,11800000,2100000, Rejected
223,3, Graduate, Yes,7000000,21000000,4,307,23600000,8900000,4400000,6300000, Rejected
224,4, Graduate, Yes,2100000,10400000,2,687,2500000,1000000,7400000,1100000, Approved
225,2, Not Graduate, No,7200000,11500000,10,480,19500000,3500000,22800000,1900000, Rejected
226,0, Graduate, Yes,3100000,13400000,14,493,900000,5000000,8500000,3700000, Rejected
227,0, Graduate, No,8100000,9800000,16,662,4400000,2200000,21500000,3200000, Approved
228,4, Not Graduate, Yes,5800000,16900000,20,870,4300000,9700000,7300000,1900000, Approved
229,1, Not Graduate, Yes,5500000,25000000,14,819,6800000,5500000,6900000,7100000, Approved
230,1, Graduate, Yes,1900000,7000000,16,888,2900000,3200000,1100000,2100000, Approved
231,0, Not Graduate, No,4700000,17600000,6,548,8300000,4500000,4900000,5500000, Approved
232,4, Not Graduate, Yes,8500000,17500000,8,371,8600000,18000000,14300000,5000000, Rejected
233,0, Graduate, Yes,300000,800000,8,429,100000,0,700000,300000, Rejected
234,3, Graduate, No,7600000,18700000,2,506,18500000,17000000,7300000,10700000, Rejected
235,1, Graduate, No,5000000,15400000,20,480,1400000,3400000,12300000,2500000, Approved
236,5, Not Graduate, No,7200000,20500000,6,424,20700000,800000,10200000,1400000, Rejected
237,3, Graduate, Yes,6700000,15500000,10,390,21900000,9400000,9300000,2300000, Rejected
238,0, Not Graduate, No,4400000,9800000,8,412,11200000,2500000,16800000,6000000, Rejected
239,3, Not Graduate, No,3200000,6400000,2,695,6900000,3700000,12700000,1600000, Approved
240,0, Graduate, Yes,6300000,15500000,20,595,14900000,12600000,21000000,5000000, Approved
241,3, Not Graduate, No,1500000,2400000,6,322,3500000,3000000,1000000,1300000, Rejected
242,1, Graduate, No,5900000,26500000,4,638,19300000,8900000,18000000,8500000, Approved
243,4, Graduate, No,1100000,3700000,8,806,3700000,2700000,1200000,600000, Approved
244,2, Graduate, No,6500000,10000000,4,555,10500000,7500000,16200000,5400000, Rejected
245,2, Graduate, Yes,6300000,23800000,20,491,14100000,600000,22900000,9100000, Rejected
246,5, Not Graduate, No,1000000,4400000,4,463,2800000,2000000,1800000,400000, Approved
247,2, Not Graduate, Yes,7600000,14800000,8,528,1500000,4200000,28500000,7100000, Rejected
248,1, Not Graduate, No,4200000,6700000,6,467,8100000,1900000,12500000,800000, Rejected
249,3, Graduate, No,7900000,8200000,2,855,18600000,1400000,12300000,3700000, Approved
250,4, Not Graduate, Yes,600000,700000,2,896,1500000,500000,500000,100000, Approved
251,0, Graduate, Yes,1900000,7700000,12,506,2700000,1500000,6400000,1100000, Rejected
252,1, Not Graduate, No,5000000,24700000,6,855,5900000,3800000,10500000,1900000, Approved
253,3, Graduate, Yes,2000000,2400000,2,813,1600000,3000000,1500000,2400000, Approved
254,1, Graduate, Yes,3400000,13600000,6,345,6900000,6400000,2900000,2500000, Rejected
255,4, Not Graduate, Yes,6600000,8500000,6,594,21300000,15500000,25600000,4400000, Approved
256,0, Not Graduate, Yes,1600000,5400000,10,694,5100000,400000,2200000,1700000, Approved
257,1, Graduate, Yes,6800000,27400000,20,553,9400000,2600000,26400000,9700000, Rejected
258,3, Graduate, No,1200000,2900000,8,574,1300000,1800000,3500000,600000, Approved
259,5, Not Graduate, Yes,1900000,2000000,16,596,5300000,500000,2900000,400000, Approved
260,2, Graduate, Yes,5900000,19900000,16,713,15300000,5500000,10900000,1500000, Approved
261,1, Graduate, No,7900000,39200000,2,476,14800000,12300000,25400000,10300000, Rejected
262,5, Graduate, No,1800000,3700000,12,658,2700000,3500000,3600000,2300000, Approved
263,3, Graduate, No,3100000,5400000,10,446,1900000,1700000,2400000,2400000, Rejected
264,1, Graduate, Yes,9200000,13800000,12,834,25700000,15400000,12000000,2800000, Approved
265,5, Not Graduate, No,9800000,31600000,4,350,21900000,15800000,34400000,8200000, Rejected
266,0, Graduate, Yes,5800000,19600000,10,340,8400000,12500000,17000000,6000000, Rejected
267,4, Graduate, No,4500000,18800000,4,322,14500000,3500000,10100000,2500000, Rejected
268,5, Not Graduate, No,3500000,14000000,20,510,8300000,6600000,4800000,800000, Rejected
269,3, Graduate, No,6200000,28300000,12,664,20300000,11700000,13400000,3400000, Approved
270,5, Not Graduate, No,5900000,24900000,2,892,10400000,3500000,19200000,6300000, Approved
271,3, Graduate, Yes,3000000,6000000,12,573,5100000,4700000,2400000,4400000, Approved
272,3, Not Graduate, Yes,400000,1300000,20,409,1300000,700000,1600000,100000, Rejected
273,0, Not Graduate, Yes,1600000,3500000,16,521,5400000,1100000,5600000,2200000, Approved
274,1, Not Graduate, Yes,9500000,22000000,6,376,32000000,10700000,15300000,7000000, Rejected
275,4, Not Graduate, Yes,4200000,19900000,18,583,12200000,4600000,14900000,4300000, Approved
276,4, Not Graduate, Yes,4900000,18300000,4,738,8500000,9500000,14100000,6400000, Approved
277,3, Not Graduate, Yes,4700000,23000000,6,321,4200000,0,13300000,4100000, Rejected
278,1, Not Graduate, No,7800000,20800000,4,767,11400000,9800000,7700000,1500000, Approved
279,0, Graduate, Yes,800000,2500000,20,437,2600000,400000,2900000,400000, Rejected
280,0, Graduate, No,1000000,2900000,16,704,1400000,1600000,2100000,1200000, Approved
281,0, Graduate, No,2900000,4100000,12,790,7800000,4900000,9600000,2500000, Approved
282,1, Not Graduate, Yes,4900000,9500000,14,766,15900000,6100000,7600000,2700000, Approved
283,5, Graduate, No,6700000,20800000,6,702,22800000,9100000,10600000,6100000, Approved
284,4, Graduate, No,5000000,6300000,2,716,16600000,3900000,19400000,2400000, Approved
285,1, Graduate, No,4500000,21300000,18,412,9100000,3500000,10100000,2000000, Rejected
286,1, Not Graduate, Yes,9300000,13900000,20,381,17000000,17300000,6600000,11700000, Rejected
287,5, Graduate, Yes,1700000,3000000,2,529,5900000,600000,5800000,1100000, Approved
288,2, Graduate, Yes,5800000,23600000,2,665,5300000,11200000,7500000,2800000, Approved
289,1, Not Graduate, No,5500000,7600000,12,671,4500000,9000000,19700000,3700000, Approved
290,1, Not Graduate, Yes,4800000,22100000,2,766,16200000,10600000,17800000,6700000, Approved
291,2, Not Graduate, Yes,8100000,31600000,16,485,20000000,5300000,6100000,2900000, Rejected
292,3, Not Graduate, No,2800000,3600000,20,820,5500000,3500000,7100000,1000000, Approved
293,3, Not Graduate, No,9500000,35800000,6,569,6000000,900000,37400000,5700000, Rejected
294,3, Not Graduate, Yes,3400000,12000000,6,447,6400000,7800000,12800000,600000, Rejected
295,3, Not Graduate, No,5500000,22200000,18,741,18200000,9300000,12900000,1100000, Approved
296,1, Not Graduate, Yes,5300000,22900000,8,376,11600000,8300000,15300000,600000, Rejected
297,2, Not Graduate, No,8500000,32900000,6,543,13000000,15600000,22200000,2600000, Rejected
298,4, Graduate, Yes,4500000,15100000,2,769,9100000,3200000,5500000,4500000, Approved
299,2, Graduate, No,2900000,6600000,18,763,9100000,4400000,8100000,1100000, Approved
300,5, Graduate, Yes,400000,1500000,20,454,1300000,800000,700000,300000, Rejected
301,2, Not Graduate, Yes,3700000,17900000,2,400,5600000,800000,6200000,4000000, Rejected
302,2, Not Graduate, No,8200000,27500000,18,319,18100000,19700000,16200000,1200000, Rejected
303,4, Graduate, No,200000,700000,4,353,200000,400000,700000,100000, Rejected
304,2, Not Graduate, No,8900000,24500000,4,795,15000000,21400000,11900000,13300000, Approved
305,2, Not Graduate, Yes,5500000,22100000,8,770,5100000,11100000,7600000,5100000, Approved
306,2, Not Graduate, Yes,1500000,7500000,10,604,2900000,1100000,800000,1500000, Approved
307,3, Graduate, Yes,3100000,5100000,18,642,6500000,4500000,3200000,2500000, Approved
